Transaction_date,Price,Product,City
01/01/2013,1742,Product1,Cairo
02/01/2013,1808,Product1,Cairo
03/01/2013,1887,Product1,Cairo
04/01/2013,1983,Product1,Cairo
05/01/2013,2087,Product1,Cairo
06/01/2013,2206,Product1,Cairo
07/01/2013,1496,Product1,Cairo
08/01/2013,1800,Product1,Cairo
09/01/2013,1786,Product1,Cairo
01/01/2013,1956,Product1,Cairo
11/01/2013,1989,Product1,Cairo
12/01/2013,2166,Product1,Cairo
13/01/2013,2258,Product1,Cairo
14/01/2013,1504,Product1,Cairo
15/01/2013,1766,Product1,Cairo
16/01/2013,1749,Product1,Cairo
17/01/2013,1826,Product1,Cairo
18/01/2013,2058,Product1,Cairo
19/01/2013,2125,Product1,Cairo
02/01/2013,2236,Product1,Cairo
21/01/2013,1546,Product1,Cairo
22/01/2013,1732,Product1,Cairo
23/01/2013,1744,Product1,Cairo
24/01/2013,1792,Product1,Cairo
25/01/2013,2062,Product1,Cairo
26/01/2013,2164,Product1,Cairo
27/01/2013,2289,Product1,Cairo
28/01/2013,1503,Product1,Cairo
29/01/2013,1748,Product1,Cairo
03/01/2013,1722,Product1,Cairo
31/01/2013,1790,Product1,Cairo
01/02/2013,2241,Product1,Cairo
02/02/2013,2488,Product1,Cairo
03/02/2013,2566,Product1,Cairo
04/02/2013,1655,Product1,Cairo
05/02/2013,1929,Product1,Cairo
06/02/2013,2004,Product1,Cairo
07/02/2013,2127,Product1,Cairo
08/02/2013,2172,Product1,Cairo
09/02/2013,2306,Product1,Cairo
01/02/2013,2578,Product1,Cairo
11/02/2013,1728,Product1,Cairo
12/02/2013,1940,Product1,Cairo
13/02/2013,1971,Product1,Cairo
14/02/2013,2055,Product1,Cairo
15/02/2013,2285,Product1,Cairo
16/02/2013,2449,Product1,Cairo
17/02/2013,2513,Product1,Cairo
18/02/2013,1648,Product1,Cairo
19/02/2013,1966,Product1,Cairo
02/02/2013,1917,Product1,Cairo
21/02/2013,2094,Product1,Cairo
22/02/2013,2275,Product1,Cairo
23/02/2013,2320,Product1,Cairo
24/02/2013,2563,Product1,Cairo
25/02/2013,1653,Product1,Cairo
26/02/2013,1942,Product1,Cairo
27/02/2013,1956,Product1,Cairo
28/02/2013,2043,Product1,Cairo
01/03/2013,2732,Product1,Cairo
02/03/2013,2905,Product1,Cairo
03/03/2013,3035,Product1,Cairo
04/03/2013,2023,Product1,Cairo
05/03/2013,2340,Product1,Cairo
06/03/2013,2390,Product1,Cairo
07/03/2013,2428,Product1,Cairo
08/03/2013,2653,Product1,Cairo
09/03/2013,2860,Product1,Cairo
01/03/2013,2980,Product1,Cairo
11/03/2013,1965,Product1,Cairo
12/03/2013,2302,Product1,Cairo
13/03/2013,2412,Product1,Cairo
14/03/2013,2423,Product1,Cairo
15/03/2013,2669,Product1,Cairo
16/03/2013,2801,Product1,Cairo
17/03/2013,3020,Product1,Cairo
18/03/2013,2025,Product1,Cairo
19/03/2013,2313,Product1,Cairo
02/03/2013,2337,Product1,Cairo
21/03/2013,2543,Product1,Cairo
22/03/2013,2706,Product1,Cairo
23/03/2013,2864,Product1,Cairo
24/03/2013,2977,Product1,Cairo
25/03/2013,1998,Product1,Cairo
26/03/2013,2430,Product1,Cairo
27/03/2013,2360,Product1,Cairo
28/03/2013,2588,Product1,Cairo
29/03/2013,2655,Product1,Cairo
03/03/2013,2875,Product1,Cairo
31/03/2013,3000,Product1,Cairo
01/04/2013,2471,Product1,Cairo
02/04/2013,2736,Product1,Cairo
03/04/2013,2719,Product1,Cairo
04/04/2013,2952,Product1,Cairo
05/04/2013,3077,Product1,Cairo
06/04/2013,3302,Product1,Cairo
07/04/2013,3414,Product1,Cairo
08/04/2013,2336,Product1,Cairo
09/04/2013,2779,Product1,Cairo
01/04/2013,2685,Product1,Cairo
11/04/2013,3036,Product1,Cairo
12/04/2013,3170,Product1,Cairo
13/04/2013,3250,Product1,Cairo
14/04/2013,3667,Product1,Cairo
15/04/2013,2284,Product1,Cairo
16/04/2013,2736,Product1,Cairo
17/04/2013,2684,Product1,Cairo
18/04/2013,2931,Product1,Cairo
19/04/2013,3119,Product1,Cairo
02/04/2013,3329,Product1,Cairo
21/04/2013,3566,Product1,Cairo
22/04/2013,2341,Product1,Cairo
23/04/2013,2773,Product1,Cairo
24/04/2013,2646,Product1,Cairo
25/04/2013,2907,Product1,Cairo
26/04/2013,3138,Product1,Cairo
27/04/2013,3309,Product1,Cairo
28/04/2013,3588,Product1,Cairo
29/04/2013,2347,Product1,Cairo
03/04/2013,2695,Product1,Cairo
01/05/2013,2971,Product1,Cairo
02/05/2013,3184,Product1,Cairo
03/05/2013,3379,Product1,Cairo
04/05/2013,3618,Product1,Cairo
05/05/2013,3814,Product1,Cairo
06/05/2013,2476,Product1,Cairo
07/05/2013,2942,Product1,Cairo
08/05/2013,2908,Product1,Cairo
09/05/2013,3088,Product1,Cairo
01/05/2013,3421,Product1,Cairo
11/05/2013,3549,Product1,Cairo
12/05/2013,3717,Product1,Cairo
13/05/2013,2474,Product1,Cairo
14/05/2013,2973,Product1,Cairo
15/05/2013,2953,Product1,Cairo
16/05/2013,3178,Product1,Cairo
17/05/2013,3301,Product1,Cairo
18/05/2013,3611,Product1,Cairo
19/05/2013,3720,Product1,Cairo
02/05/2013,2581,Product1,Cairo
21/05/2013,2828,Product1,Cairo
22/05/2013,2894,Product1,Cairo
23/05/2013,3130,Product1,Cairo
24/05/2013,3369,Product1,Cairo
25/05/2013,3576,Product1,Cairo
26/05/2013,3747,Product1,Cairo
27/05/2013,2472,Product1,Cairo
28/05/2013,3003,Product1,Cairo
29/05/2013,2980,Product1,Cairo
03/05/2013,3155,Product1,Cairo
31/05/2013,3349,Product1,Cairo
01/06/2013,3696,Product1,Cairo
02/06/2013,4164,Product1,Cairo
03/06/2013,2647,Product1,Cairo
04/06/2013,3100,Product1,Cairo
05/06/2013,3142,Product1,Cairo
06/06/2013,3363,Product1,Cairo
07/06/2013,3606,Product1,Cairo
08/06/2013,3770,Product1,Cairo
09/06/2013,3927,Product1,Cairo
01/06/2013,2653,Product1,Cairo
11/06/2013,3245,Product1,Cairo
12/06/2013,3172,Product1,Cairo
13/06/2013,3277,Product1,Cairo
14/06/2013,3502,Product1,Cairo
15/06/2013,3781,Product1,Cairo
16/06/2013,4039,Product1,Cairo
17/06/2013,2611,Product1,Cairo
18/06/2013,3064,Product1,Cairo
19/06/2013,3073,Product1,Cairo
02/06/2013,3339,Product1,Cairo
21/06/2013,3507,Product1,Cairo
22/06/2013,3775,Product1,Cairo
23/06/2013,4046,Product1,Cairo
24/06/2013,2690,Product1,Cairo
25/06/2013,3068,Product1,Cairo
26/06/2013,3152,Product1,Cairo
27/06/2013,3388,Product1,Cairo
28/06/2013,3564,Product1,Cairo
29/06/2013,3687,Product1,Cairo
03/06/2013,4110,Product1,Cairo
01/07/2013,2781,Product1,Cairo
02/07/2013,3290,Product1,Cairo
03/07/2013,3323,Product1,Cairo
04/07/2013,3535,Product1,Cairo
