subcategory,name,brand,variation_0_color,variation_1_color,id
T-shirts,T-shirt boutonné à manches courtes et imprimé floral,,White,Navy,1690810
Soutiens-gorge,Plus Soutiens-gorge avec fermeture à l'avant,,blanc,gris,1533303
Pantalons & Shorts,Pantalon décontracté à taille élastique de couleur unie,,Khaki,Black,1661710
Robes imprimées,Robe midi décontractée à imprimé floral,,Khaki,White,1691484
T-shirts,T-shirt brodé de fleurs,,Green,Sky Blue,1655044
Robes imprimées,Robe longue à imprimé floral vintage,,Red,Yellow,1527134
Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,,Red,Navy,1715194
Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,,Black,Apricot,1660117
Pantalons & Shorts,Pantalon décontracté à fleurs,Gracila,Blue,Yellow,1663956
Pantalons & Shorts,Pantalon décontracté à cordon de couleur unie,Gracila,Grey,Green,1617649
Soutiens-gorge,Soutien-gorge Sexy à Décollecté Plongeant sans Armature,,Noir,Violet clair,1141004
Vestes & Gilets,Vestes à imprimé floral de style ethnique,O-NEWE,Green,Red,1561403
T-shirts,T-shirt simple à fleurs,,Black,Grey,1654724
Robes imprimées,Robe longue à patchwork imprimé,,vert,Jaune,1509346
Blouses & Chemises,Chemisier ample à col rabattu de couleur unie,,Yellow,Blue,1555575
Pantalons & Shorts,Sarouel croisé décontracté,O-NEWE,Black,Blue,1667484
T-shirts,T-shirt imprimé poisson,Gracila,Green,Blue,1656834
Blouses & Chemises,Chemisier ample de couleur unie,,White,Black,1674856
Robes imprimées,Robe midi bohème imprimée à pois,,Grey,Yellow,1666207
Pantalons & Shorts,Pantalon imprimé papillons en bambou,,Grey,Black,1662798
Robes imprimées,Robe mi-longue imprimée à fleurs,,Yellow,Grey,1697894
Robes imprimées,Robe maxi sans manches imprimé patchwork,ZANZEA,Orange,Khaki,1565270
Robes décontractées,Robe longue de couleur contrastée,,gris,Bleu,1526607
Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral Daisy,,Green,Navy,1664205
Blouses & Chemises,Chemisier à manches courtes brodé bohème,,blanc,Rose,1477083
Robes imprimées,Robe imprimée à poches col rond,,Yellow,Blue,1665087
Robes imprimées,Robe longue bouffante à imprimé floral,ZANZEA,Navy,Red,1591654
Blouses & Chemises,Chemisier à manches longues imprimé chat ,Gracila,White,Blue,1603323
Blouses & Chemises,Chemisier col rabattu de couleur unie,,White,Black,1691048
T-shirts,T-shirt décontracté à fleurs,,Green,Grey,1656117
T-shirts,T-shirt boutonné uni,,Green,Orange,1651757
Combinaisons & Grenouillères,Combinaison imprimé papillons,Gracila,Green,Grey,1666185
Blouses & Chemises,Chemisier Selvedge Stringy,,#01,#02,1674015
Chemises,Blouse patchwork à imprimé vintage,,Rose,Beige,1430434
Robes imprimées,Robe midi chemise boutonnée vintage,ZANZEA,Rose,Noir,1472759
Pantalons & Shorts,Pantalon décontracté à imprimé graffiti,O-NEWE,Green,Red,1667379
T-shirts,T-shirt boutonné à fleurs,,Sky Blue,White,1661821
Robes imprimées,Robe décontractée imprimée,ZANZEA,Red,Green,1546066
Combinaison & Salopette,Combinaison ample bohème à bretelles,,kaki,Noir,1446771
Pantalons & Shorts,Pantalon décontracté uni femme,,White,Blue,1667322
Robes imprimées,Robe de couleur contrastée florale,,Yellow,Red,1667744
Chemises,T-shirt imprimé chat de dessin animé,,Blue,Grey,1595497
Robes imprimées,Robe maxi vintage imprimé bohème,,Orange,,1554317
Chemises,T-shirt imprimé chat dessin animé,,Navy,Green,1526702
Soutiens-gorge,7XL Plus Taille Wireless Sport Yoga Bras,,Nu,gris,1573754
Soutiens-gorge,Soutien-gorge de fermeture avant sans fil avec broderie rose,,Black,Khaki,1641088
T-shirts,T-shirt à fleurs Daisy,,Grey,,1675818
T-shirts,T-shirt décontracté ample imprimé,,Black,Grey,1654723
Blouses & Chemises,Chemisier boutonné imprimé vintage,,Blue,,1667428
T-shirts,T-shirt patchwork imprimé floral,,Navy,Wine Red,1671268
Pantalons & Shorts,Sarouel solide décontracté ,ZANZEA,Coffee,Grey,1561018
T-shirts,T-shirt bouton grenouille imprimé chat,Gracila,Green,Wine Red,1662805
Robes imprimées,Robe sans manches à fleurs,Gracila,Green,Grey,1674703
T-shirts,T-shirt à col rond imprimé fleuri,,White,Green,1685597
Blouses & Chemises,Chemisier imprimé papillons fleurs,,Yellow,Dark Green,1682342
Combinaisons & Grenouillères,Combinaisons brodées de fleurs,Gracila,Light Green,Light Blue,1665074
Pantalons & Shorts,Pantalon taille élastique imprimé fleuri,,Apricot,Blue,1677657
Chemises,T-shirt imprimé floral marguerite ,O-NEWE,Wine Red,Blue,1664076
Combinaisons & Grenouillères,Combinaison imprimée poisson dessin animé,Gracila,White,Green,1666182
Chemises,T-shirt à manches courtes imprimé papillon,,vert,Violet,1705158
Boho Dresses,Robe longue ethnique à imprimé floral,,Navy,,1710139
Bra,Soutien-gorge de sommeil avec bretelles en dentelle à glissière sur le devant,,Coffee,Black,1720728
Pantalons & Shorts,Pantalon taille élastique à imprimé floral,ZANZEA,gris,,1470421
Robes imprimées,Robe à encolure en V et imprimé géométrique,,blanc,Bleu,1711047
Robes décontractées,Robe plissée à col en V et nœud papillon,VONDA,Black,Red,1719054
Robes imprimées,Robe patchwork à imprimé floral vintage,ZANZEA,Red,Navy,1708321
Robes sexy,Mini robe femme,YOINS,Marine,,1073974
T-shirts,T-shirt ras du cou imprimé lettre,,Black,Grey,1668317
Robes imprimées,Robe sans manches imprimée à rayures,Celmia,Noir,Marine,1466550
Combinaison & Salopette,Combinaison ceinturée à bretelles spaghetti,VONDA,Black,Red,1664885
Chemises,T-shirt décontracté à ourlet asymétrique,,Black,Grey,1596407
Blouses & Chemises,Chemise à revers brodée,Gracila,Pink,Green,1641466
